file,pred_label
subtomo_0090.mrc,3
subtomo_0091.mrc,2
subtomo_0092.mrc,1
subtomo_0093.mrc,1
subtomo_0094.mrc,1
subtomo_0095.mrc,1
subtomo_0096.mrc,2
subtomo_0097.mrc,3
subtomo_0098.mrc,1
subtomo_0099.mrc,1
subtomo_0100.mrc,2
subtomo_0101.mrc,3
subtomo_0102.mrc,2
subtomo_0103.mrc,3
subtomo_0104.mrc,2
subtomo_0105.mrc,1
subtomo_0106.mrc,1
subtomo_0107.mrc,3
subtomo_0108.mrc,3
subtomo_0109.mrc,1
subtomo_0110.mrc,1
subtomo_0111.mrc,2
subtomo_0112.mrc,2
subtomo_0113.mrc,3
subtomo_0114.mrc,2
subtomo_0115.mrc,3
subtomo_0116.mrc,2
subtomo_0117.mrc,1
subtomo_0118.mrc,1
subtomo_0119.mrc,3
subtomo_0120.mrc,1
subtomo_0121.mrc,2
subtomo_0122.mrc,2
subtomo_0123.mrc,1
subtomo_0124.mrc,1
subtomo_0125.mrc,1
subtomo_0126.mrc,2
subtomo_0127.mrc,3
subtomo_0128.mrc,1
subtomo_0129.mrc,2
subtomo_0130.mrc,1
subtomo_0131.mrc,3
subtomo_0132.mrc,2
subtomo_0133.mrc,3
subtomo_0134.mrc,2
subtomo_0135.mrc,3
subtomo_0136.mrc,2
subtomo_0137.mrc,1
subtomo_0138.mrc,3
subtomo_0139.mrc,1
subtomo_0140.mrc,1
subtomo_0141.mrc,3
subtomo_0142.mrc,2
subtomo_0143.mrc,2
subtomo_0144.mrc,3
subtomo_0145.mrc,3
subtomo_0146.mrc,3
subtomo_0147.mrc,2
subtomo_0148.mrc,2
subtomo_0149.mrc,1
subtomo_0150.mrc,1
subtomo_0151.mrc,3
subtomo_0152.mrc,3
subtomo_0153.mrc,1
subtomo_0154.mrc,1
subtomo_0155.mrc,2
subtomo_0156.mrc,1
subtomo_0157.mrc,1
subtomo_0158.mrc,1
subtomo_0159.mrc,1
subtomo_0160.mrc,1
subtomo_0161.mrc,2
subtomo_0162.mrc,2
subtomo_0163.mrc,1
subtomo_0164.mrc,2
subtomo_0165.mrc,2
subtomo_0166.mrc,1
subtomo_0167.mrc,1
subtomo_0168.mrc,3
subtomo_0169.mrc,1
subtomo_0170.mrc,3
subtomo_0171.mrc,1
subtomo_0172.mrc,2
subtomo_0173.mrc,1
subtomo_0174.mrc,3
subtomo_0175.mrc,2
subtomo_0176.mrc,1
subtomo_0177.mrc,3
subtomo_0178.mrc,3
subtomo_0179.mrc,1
subtomo_0180.mrc,2
subtomo_0181.mrc,2
subtomo_0182.mrc,2
subtomo_0183.mrc,1
subtomo_0184.mrc,3
subtomo_0185.mrc,2
subtomo_0186.mrc,3
subtomo_0187.mrc,1
subtomo_0188.mrc,3
subtomo_0189.mrc,3
subtomo_0190.mrc,1
subtomo_0191.mrc,3
subtomo_0192.mrc,3
subtomo_0193.mrc,1
subtomo_0194.mrc,1
subtomo_0195.mrc,2
subtomo_0196.mrc,3
subtomo_0197.mrc,1
subtomo_0198.mrc,1
subtomo_0199.mrc,2
subtomo_0200.mrc,2
subtomo_0201.mrc,1
subtomo_0202.mrc,1
subtomo_0203.mrc,2
subtomo_0204.mrc,2
subtomo_0205.mrc,2
subtomo_0206.mrc,1
subtomo_0207.mrc,3
subtomo_0208.mrc,1
subtomo_0209.mrc,2
subtomo_0210.mrc,2
subtomo_0211.mrc,1
subtomo_0212.mrc,1
subtomo_0213.mrc,2
subtomo_0214.mrc,1
subtomo_0215.mrc,1
subtomo_0216.mrc,3
subtomo_0217.mrc,2
subtomo_0218.mrc,2
subtomo_0219.mrc,3
subtomo_0220.mrc,3
subtomo_0221.mrc,1
subtomo_0222.mrc,3
subtomo_0223.mrc,3
subtomo_0224.mrc,3
subtomo_0225.mrc,2
subtomo_0226.mrc,1
subtomo_0227.mrc,3
subtomo_0228.mrc,3
subtomo_0229.mrc,1
subtomo_0230.mrc,2
subtomo_0231.mrc,1
subtomo_0232.mrc,2
subtomo_0233.mrc,3
subtomo_0234.mrc,1
subtomo_0235.mrc,2
subtomo_0236.mrc,1
subtomo_0237.mrc,2
subtomo_0238.mrc,1
subtomo_0239.mrc,1
subtomo_0240.mrc,2
subtomo_0241.mrc,3
subtomo_0242.mrc,2
subtomo_0243.mrc,1
subtomo_0244.mrc,2
subtomo_0245.mrc,1
subtomo_0246.mrc,1
subtomo_0247.mrc,3
subtomo_0248.mrc,2
subtomo_0249.mrc,3
subtomo_0250.mrc,1
subtomo_0251.mrc,3
subtomo_0252.mrc,1
subtomo_0253.mrc,3
subtomo_0254.mrc,3
subtomo_0255.mrc,1
subtomo_0256.mrc,3
subtomo_0257.mrc,3
subtomo_0258.mrc,1
subtomo_0259.mrc,1
subtomo_0260.mrc,2
subtomo_0261.mrc,3
subtomo_0262.mrc,3
subtomo_0263.mrc,3
subtomo_0264.mrc,1
subtomo_0265.mrc,1
subtomo_0266.mrc,2
subtomo_0267.mrc,3
subtomo_0268.mrc,2
subtomo_0269.mrc,3
subtomo_0270.mrc,2
subtomo_0271.mrc,3
subtomo_0272.mrc,1
subtomo_0273.mrc,3
subtomo_0274.mrc,1
subtomo_0275.mrc,3
subtomo_0276.mrc,2
subtomo_0277.mrc,1
subtomo_0278.mrc,3
subtomo_0279.mrc,2
subtomo_0280.mrc,1
subtomo_0281.mrc,1
subtomo_0282.mrc,3
subtomo_0283.mrc,1
subtomo_0284.mrc,1
subtomo_0285.mrc,1
subtomo_0286.mrc,1
subtomo_0287.mrc,1
subtomo_0288.mrc,3
subtomo_0289.mrc,1
subtomo_0290.mrc,3
subtomo_0291.mrc,1
subtomo_0292.mrc,1
subtomo_0293.mrc,2
subtomo_0294.mrc,1
subtomo_0295.mrc,3
subtomo_0296.mrc,2
subtomo_0297.mrc,1
subtomo_0298.mrc,2
subtomo_0299.mrc,3
subtomo_0300.mrc,1
subtomo_0301.mrc,3
subtomo_0302.mrc,1
subtomo_0303.mrc,2
subtomo_0304.mrc,1
subtomo_0305.mrc,2
subtomo_0306.mrc,1
subtomo_0307.mrc,2
subtomo_0308.mrc,2
subtomo_0309.mrc,2
subtomo_0310.mrc,3
subtomo_0311.mrc,1
subtomo_0312.mrc,2
subtomo_0313.mrc,2
subtomo_0314.mrc,1
subtomo_0315.mrc,1
subtomo_0316.mrc,1
subtomo_0317.mrc,1
subtomo_0318.mrc,3
subtomo_0319.mrc,2
subtomo_0320.mrc,2
subtomo_0321.mrc,1
subtomo_0322.mrc,1
subtomo_0323.mrc,1
subtomo_0324.mrc,3
subtomo_0325.mrc,1
subtomo_0326.mrc,3
subtomo_0327.mrc,3
subtomo_0328.mrc,3
subtomo_0329.mrc,3
subtomo_0330.mrc,3
subtomo_0331.mrc,2
subtomo_0332.mrc,2
subtomo_0333.mrc,2
subtomo_0334.mrc,1
subtomo_0335.mrc,2
subtomo_0336.mrc,2
subtomo_0337.mrc,2
subtomo_0338.mrc,1
subtomo_0339.mrc,3
subtomo_0340.mrc,2
subtomo_0341.mrc,2
subtomo_0342.mrc,1
subtomo_0343.mrc,1
subtomo_0344.mrc,3
subtomo_0345.mrc,3
subtomo_0346.mrc,1
subtomo_0347.mrc,2
subtomo_0348.mrc,2
subtomo_0349.mrc,1
subtomo_0350.mrc,3
subtomo_0351.mrc,2
subtomo_0352.mrc,1
subtomo_0353.mrc,2
subtomo_0354.mrc,1
subtomo_0355.mrc,3
subtomo_0356.mrc,3
subtomo_0357.mrc,2
subtomo_0358.mrc,2
subtomo_0359.mrc,2
subtomo_0360.mrc,3
subtomo_0361.mrc,1
subtomo_0362.mrc,3
subtomo_0363.mrc,1
subtomo_0364.mrc,2
subtomo_0365.mrc,2
subtomo_0366.mrc,2
subtomo_0367.mrc,3
subtomo_0368.mrc,1
subtomo_0369.mrc,1
subtomo_0370.mrc,3
subtomo_0371.mrc,3
subtomo_0372.mrc,1
subtomo_0373.mrc,1
subtomo_0374.mrc,2
subtomo_0375.mrc,1
subtomo_0376.mrc,3
subtomo_0377.mrc,3
subtomo_0378.mrc,1
subtomo_0379.mrc,1
subtomo_0380.mrc,2
subtomo_0381.mrc,2
subtomo_0382.mrc,1
subtomo_0383.mrc,1
subtomo_0384.mrc,2
subtomo_0385.mrc,3
subtomo_0386.mrc,2
subtomo_0387.mrc,3
subtomo_0388.mrc,3
subtomo_0389.mrc,2
subtomo_0390.mrc,2
subtomo_0391.mrc,1
subtomo_0392.mrc,3
subtomo_0393.mrc,2
subtomo_0394.mrc,1
subtomo_0395.mrc,2
subtomo_0396.mrc,2
subtomo_0397.mrc,2
subtomo_0398.mrc,3
subtomo_0399.mrc,1
subtomo_0400.mrc,3
subtomo_0401.mrc,1
subtomo_0402.mrc,2
subtomo_0403.mrc,1
subtomo_0404.mrc,2
subtomo_0405.mrc,2
subtomo_0406.mrc,2
subtomo_0407.mrc,3
subtomo_0408.mrc,3
subtomo_0409.mrc,2
subtomo_0410.mrc,1
subtomo_0411.mrc,3
subtomo_0412.mrc,3
subtomo_0413.mrc,3
subtomo_0414.mrc,3
