package,dataset,k,run,n_particles,ARI,AMI,V_measure,accuracy,pred_csv,notes
relion,motor_easy,2,k2_AC_hc_x6_542_iter001,542,0.764384,0.673464,0.673901,0.937269,outputs/FM_easy/relion/run_k2/pred_iter001.csv,GT-seeded firstiter_cc K=2; 2-class A/C x6 542p; iter001
relion,motor_easy,2,k2_AC_hc_x6_542_iter002,542,0.435246,0.347469,0.348342,0.830258,outputs/FM_easy/relion/run_k2/pred_iter002.csv,GT-seeded firstiter_cc K=2; 2-class A/C x6 542p; iter002
peet,motor_easy,2,k2_pc1_3_AC_hc_x6_542,542,0.082006,0.201174,0.202517,0.643911,outputs/FM_easy/peet/predictions_k2_pc1_3.csv,WMD-PCA k-means pc1_3; 2-class A/C x6 542p
peet,motor_easy,2,k2_pc1_5_AC_hc_x6_542,542,0.124545,0.243559,0.244769,0.677122,outputs/FM_easy/peet/predictions_k2_pc1_5.csv,WMD-PCA k-means pc1_5; 2-class A/C x6 542p
peet,motor_easy,2,k2_pc1_10_AC_hc_x6_542,542,0.450122,0.482520,0.483239,0.835793,outputs/FM_easy/peet/predictions_k2_pc1_10.csv,WMD-PCA k-means pc1_10; 2-class A/C x6 542p
protomo,motor_easy,2,k2_AC_hc_x6_542,542,0.053172,0.108891,0.110384,0.616236,outputs/FM_easy/protomo/protomo_motor_easy_k2.csv,"I3/ProTomo SVD+HAC k=2 no junk; DIFF-SPHERE mask (canonical, i3cut-converted); 2-class A/C x6 542p"
relion,motor_easy,2,k2_AC_hc_x6_542_BLIND,542,0.008526,0.023306,0.025079,0.547970,outputs/FM_easy/relion/run_k2_blind/pred_blind.csv,"BLIND global-avg init, no GT refs, no firstiter_cc; fair unsupervised; 2-class A/C x6 542p"
protomo_CYL,motor_easy,2,cyl_test,542,0.067729,0.130375,0.131807,0.630996,/tmp/protomo_cyl_pred.csv,
eman2,motor_easy,2,k2_AC_hc_x6_542_CYL,542,0.116840,0.236424,0.237654,0.671587,outputs/FM_easy/eman2/eman2_motor_easy_k2_cyl.csv,cylinder mask r27 h24
disca,motor_easy,2,k2_AC_hc_x6_542_CYL,542,0.005366,0.003879,0.005208,0.542435,outputs/FM_easy/disca/disca_motor_easy_k2_cyl.csv,cylinder mask r27 h24
protomo,motor_easy,2,k2_AC_hc_x6_542_CYL,542,0.043454,0.104526,0.106076,0.605166,outputs/FM_easy/protomo/protomo_motor_easy_k2_cyl.csv,"cylinder mask r27 h24, factors 1-4"
dynamo,motor_easy,2,k2_AC_hc_x6_542_CYL,542,-0.001462,-0.001094,0.000255,0.509225,outputs/FM_easy/dynamo/dynamo_motor_easy_k2_cyl.csv,cylinder mask r27 h24
pytom,motor_easy,2,k2_AC_hc_x6_542_CYL,542,0.261772,0.212064,0.213131,0.756458,outputs/FM_easy/pytom/pytom_motor_easy_k2_cyl.csv,cylinder mask r27 h24
peet,motor_easy,2,k2_pc1_10_AC_hc_x6_542_CYL,542,0.309441,0.385688,0.386573,0.778598,outputs/FM_easy/peet/predictions_k2_pc1_10_cyl.csv,"cylinder mask r27 h24, pc1_10"
disca,motor_easy,2,k2_AC_hc_x6_542_ALIGNED,542,0.455088,0.462962,0.463705,0.837638,outputs/FM_easy/disca/disca_motor_easy_k2_aligned.csv,aligned particles (real align step)
dynamo,motor_easy,2,k2_AC_hc_x6_542_ALIGNED,542,0.475266,0.477064,0.477785,0.845018,outputs/FM_easy/dynamo/dynamo_motor_easy_k2_aligned.csv,aligned particles
peet,motor_easy,2,k2_AC_hc_x6_542_ALIGNED,542,0.330330,0.368194,0.369092,0.787823,outputs/FM_easy/peet_aligned/predictions_k2_pc1_10.csv,aligned particles
pytom,motor_easy,2,k2_AC_hc_x6_542_ALIGNED,542,0.634630,0.579660,0.580228,0.898524,outputs/FM_easy/pytom/pytom_motor_easy_k2_aligned.csv,"aligned, cylinder mask"
protomo,motor_easy,2,k2_AC_hc_x6_542_ALIGNED,542,0.383265,0.356881,0.357767,0.809963,outputs/FM_easy/protomo/protomo_motor_easy_k2_aligned.csv,"aligned particles, diff mask"
eman2,motor_easy,2,k2_AC_hc_x6_542_ALIGNED,542,0.326116,0.397280,0.398144,0.785978,outputs/FM_easy/eman2/eman2_motor_easy_k2_aligned.csv,"aligned particles, diff mask"
relion,motor_easy,2,k2_AC_hc_x6_542_ALIGNED,542,0.004543,0.027114,0.029141,0.535055,outputs/FM_easy/relion_aligned/pred_blind.csv,"blind global-avg init, aligned particles"
